timestamp;buyer;seller;symbol;currency;price;quantity
0;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11009;25
100;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11006;8
200;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11006;9
300;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11009;23
400;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;9995;8
400;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11006;10
500;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;11009;1
1500;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9991;4
3600;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10000;3
4200;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10001;2
5000;SUBMISSION;;INTARIAN_PEPPER_ROOT;SEASHELLS;10997;4
7600;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9993;5
9100;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9995;4
9400;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9994;10
9600;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9990;6
10000;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9989;8
10700;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;9998;5
12100;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9990;5
15100;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10010;2
15100;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10010;8
15500;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10002;10
18500;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10009;6
19800;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9998;4
22300;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9997;4
23200;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9997;7
23900;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9992;4
24300;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9993;4
24400;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9997;9
24600;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9992;3
25100;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10002;8
26800;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9998;8
30400;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10009;2
32800;SUBMISSION;;ASH_COATED_OSMIUM;SEASHELLS;9994;4
34000;;SUBMISSION;ASH_COATED_OSMIUM;SEASHELLS;10009;7
